element,specification,rationale
randomization_unit,clinician_cross_cover_interference_component,services_connected_by_shared_clinicians_cannot_be_independent
allocation,four_site_stratified_staggered_sequences_two_components_each;published_assignment_is_illustrative_only;independent_auditable_randomization_required_at_launch,no_patient_randomization_and_all_components_eventually_receive_intervention_without_treating_candidate_RNG_as_real_allocation
interference_exposure_mapping,assigned_on_after_component_rollout_plus_two_week_wash_in; record cross_component_clinician_and_referral_contact_fraction,intention_to_treat_assignment_effect_under_measured_spillover
primary_endpoint,clinically_adjudicated_day_of_surgery_cancellation_with_90_day_referral_followup,new_endpoint_instrument_required_current_proxy_not_acceptable
key_secondary_endpoint,referral_to_readiness_RMST_90_days_with_cancellation_competing_state,retains_censoring_and_terminal_state_definition
measurement_endpoint,census_of_displayed_recommendations_with_two_blinded_reviewers_and_third_clinician_adjudication,separates_agreement_from_correctness_and_persuasion
analysis_population,all_first_eligible_referrals_by_assigned_component_and_referral_time_regardless_of_assessment_or_use,cluster_level_intention_to_treat_prevents_survival_to_assessment_bias
primary_analysis,equal_component_cluster_period_estimator_with_period_and_component_fixed_effects_and_exact_constrained_randomization_inference,eight_independent_units_make_patient_level_intervals_invalid
outcome_maturation,primary_final_analysis_at_least_90_days_after_last_accrued_referral;interims_use_only_mature_endpoints,prevents_incomplete_followup_from_becoming_informative_censoring
randomization_inference,enumerate_all_site_stratified_sequence_assignments_allowed_by_the_locked_constraint_at_final_analysis,small_number_of_components_requires_design_based_inference_not_asymptotic_patient_level_intervals
scheduling_policy_cointervention,freeze_or_document_policy_version_and_effective_time;collect_adherence;include_period_effects_and_prespecified_site_by_time_sensitivity,a_concurrent_policy_change_can_otherwise_be_mistaken_for_intervention_effect
prospective_estimand,component_equal_weight_intention_to_treat_risk_difference_in_90_day_adjudicated_day_of_surgery_cancellation_for_all_first_eligible_referrals,defines_population_assignment_time_zero_followup_outcome_and_cluster_level_contrast
