comparison_id,family,source_table,source_row,comparison,formal_null_test_run,raw_p_value,adjusted_p_value,correction_rule,reason_no_adjustment,quantity_status,source_row_number_id
F_evaluation-0001,F_evaluation,judge_evaluation,1,reviewer_1|sensitivity|0.5,False,,,Benjamini_Yekutieli_FDR_0.05_if_formal_tests_are_run,frozen_sensitivity_rule_estimates_and_intervals_only_no_new_null_tests,comparison_registered_no_formal_test,N-EVALUATION-COMPARISON-LEDGER-0001-SOURCE_ROW
F_evaluation-0002,F_evaluation,judge_evaluation,2,reviewer_1|specificity|0.5,False,,,Benjamini_Yekutieli_FDR_0.05_if_formal_tests_are_run,frozen_sensitivity_rule_estimates_and_intervals_only_no_new_null_tests,comparison_registered_no_formal_test,N-EVALUATION-COMPARISON-LEDGER-0002-SOURCE_ROW
F_evaluation-0003,F_evaluation,judge_evaluation,3,reviewer_1|ppv|0.5,False,,,Benjamini_Yekutieli_FDR_0.05_if_formal_tests_are_run,frozen_sensitivity_rule_estimates_and_intervals_only_no_new_null_tests,comparison_registered_no_formal_test,N-EVALUATION-COMPARISON-LEDGER-0003-SOURCE_ROW
F_evaluation-0004,F_evaluation,judge_evaluation,4,reviewer_1|npv|0.5,False,,,Benjamini_Yekutieli_FDR_0.05_if_formal_tests_are_run,frozen_sensitivity_rule_estimates_and_intervals_only_no_new_null_tests,comparison_registered_no_formal_test,N-EVALUATION-COMPARISON-LEDGER-0004-SOURCE_ROW
F_evaluation-0005,F_evaluation,judge_evaluation,5,reviewer_1|balanced_accuracy|0.5,False,,,Benjamini_Yekutieli_FDR_0.05_if_formal_tests_are_run,frozen_sensitivity_rule_estimates_and_intervals_only_no_new_null_tests,comparison_registered_no_formal_test,N-EVALUATION-COMPARISON-LEDGER-0005-SOURCE_ROW
F_evaluation-0006,F_evaluation,judge_evaluation,6,reviewer_1|auc|0.5,False,,,Benjamini_Yekutieli_FDR_0.05_if_formal_tests_are_run,frozen_sensitivity_rule_estimates_and_intervals_only_no_new_null_tests,comparison_registered_no_formal_test,N-EVALUATION-COMPARISON-LEDGER-0006-SOURCE_ROW
F_evaluation-0007,F_evaluation,judge_evaluation,7,reviewer_1|brier|0.5,False,,,Benjamini_Yekutieli_FDR_0.05_if_formal_tests_are_run,frozen_sensitivity_rule_estimates_and_intervals_only_no_new_null_tests,comparison_registered_no_formal_test,N-EVALUATION-COMPARISON-LEDGER-0007-SOURCE_ROW
F_evaluation-0008,F_evaluation,judge_evaluation,8,reviewer_1|log_loss|0.5,False,,,Benjamini_Yekutieli_FDR_0.05_if_formal_tests_are_run,frozen_sensitivity_rule_estimates_and_intervals_only_no_new_null_tests,comparison_registered_no_formal_test,N-EVALUATION-COMPARISON-LEDGER-0008-SOURCE_ROW
F_evaluation-0009,F_evaluation,judge_evaluation,9,reviewer_1|average_precision|0.5,False,,,Benjamini_Yekutieli_FDR_0.05_if_formal_tests_are_run,frozen_sensitivity_rule_estimates_and_intervals_only_no_new_null_tests,comparison_registered_no_formal_test,N-EVALUATION-COMPARISON-LEDGER-0009-SOURCE_ROW
F_evaluation-0010,F_evaluation,judge_evaluation,10,reviewer_1|weighted_agreement_binary_kappa|0.5,False,,,Benjamini_Yekutieli_FDR_0.05_if_formal_tests_are_run,frozen_sensitivity_rule_estimates_and_intervals_only_no_new_null_tests,comparison_registered_no_formal_test,N-EVALUATION-COMPARISON-LEDGER-0010-SOURCE_ROW
F_evaluation-0011,F_evaluation,judge_evaluation,11,reviewer_1|calibration_intercept|0.5,False,,,Benjamini_Yekutieli_FDR_0.05_if_formal_tests_are_run,frozen_sensitivity_rule_estimates_and_intervals_only_no_new_null_tests,comparison_registered_no_formal_test,N-EVALUATION-COMPARISON-LEDGER-0011-SOURCE_ROW
F_evaluation-0012,F_evaluation,judge_evaluation,12,reviewer_1|calibration_slope|0.5,False,,,Benjamini_Yekutieli_FDR_0.05_if_formal_tests_are_run,frozen_sensitivity_rule_estimates_and_intervals_only_no_new_null_tests,comparison_registered_no_formal_test,N-EVALUATION-COMPARISON-LEDGER-0012-SOURCE_ROW
F_evaluation-0013,F_evaluation,judge_evaluation,13,reviewer_2|sensitivity|0.5,False,,,Benjamini_Yekutieli_FDR_0.05_if_formal_tests_are_run,frozen_sensitivity_rule_estimates_and_intervals_only_no_new_null_tests,comparison_registered_no_formal_test,N-EVALUATION-COMPARISON-LEDGER-0013-SOURCE_ROW
F_evaluation-0014,F_evaluation,judge_evaluation,14,reviewer_2|specificity|0.5,False,,,Benjamini_Yekutieli_FDR_0.05_if_formal_tests_are_run,frozen_sensitivity_rule_estimates_and_intervals_only_no_new_null_tests,comparison_registered_no_formal_test,N-EVALUATION-COMPARISON-LEDGER-0014-SOURCE_ROW
F_evaluation-0015,F_evaluation,judge_evaluation,15,reviewer_2|ppv|0.5,False,,,Benjamini_Yekutieli_FDR_0.05_if_formal_tests_are_run,frozen_sensitivity_rule_estimates_and_intervals_only_no_new_null_tests,comparison_registered_no_formal_test,N-EVALUATION-COMPARISON-LEDGER-0015-SOURCE_ROW
F_evaluation-0016,F_evaluation,judge_evaluation,16,reviewer_2|npv|0.5,False,,,Benjamini_Yekutieli_FDR_0.05_if_formal_tests_are_run,frozen_sensitivity_rule_estimates_and_intervals_only_no_new_null_tests,comparison_registered_no_formal_test,N-EVALUATION-COMPARISON-LEDGER-0016-SOURCE_ROW
F_evaluation-0017,F_evaluation,judge_evaluation,17,reviewer_2|balanced_accuracy|0.5,False,,,Benjamini_Yekutieli_FDR_0.05_if_formal_tests_are_run,frozen_sensitivity_rule_estimates_and_intervals_only_no_new_null_tests,comparison_registered_no_formal_test,N-EVALUATION-COMPARISON-LEDGER-0017-SOURCE_ROW
F_evaluation-0018,F_evaluation,judge_evaluation,18,reviewer_2|auc|0.5,False,,,Benjamini_Yekutieli_FDR_0.05_if_formal_tests_are_run,frozen_sensitivity_rule_estimates_and_intervals_only_no_new_null_tests,comparison_registered_no_formal_test,N-EVALUATION-COMPARISON-LEDGER-0018-SOURCE_ROW
F_evaluation-0019,F_evaluation,judge_evaluation,19,reviewer_2|brier|0.5,False,,,Benjamini_Yekutieli_FDR_0.05_if_formal_tests_are_run,frozen_sensitivity_rule_estimates_and_intervals_only_no_new_null_tests,comparison_registered_no_formal_test,N-EVALUATION-COMPARISON-LEDGER-0019-SOURCE_ROW
