label_source,family_relation,metric,estimate,lower,upper,pairs,service_clusters,threshold,interval_method,quantity_status,interpretation,estimate_number_id,lower_number_id,upper_number_id,pairs_number_id,service_clusters_number_id,threshold_number_id
reviewer_1,same_family_stated_in_frozen_plan,sensitivity,0.9367088607594937,0.8767123287671232,0.9875,120,24,0.5,service_cluster_percentile_bootstrap,observed_reviewer_specific,same_family_dependent_no_adjudicated_ground_truth,N-JUDGE-EVALUATION-0001-ESTIMATE,N-JUDGE-EVALUATION-0001-LOWER,N-JUDGE-EVALUATION-0001-UPPER,N-JUDGE-EVALUATION-0001-PAIRS,N-JUDGE-EVALUATION-0001-SERVICE_CLUSTERS,N-JUDGE-EVALUATION-0001-THRESHOLD
reviewer_1,same_family_stated_in_frozen_plan,specificity,0.14634146341463414,0.043478260869565216,0.25806451612903225,120,24,0.5,service_cluster_percentile_bootstrap,observed_reviewer_specific,same_family_dependent_no_adjudicated_ground_truth,N-JUDGE-EVALUATION-0002-ESTIMATE,N-JUDGE-EVALUATION-0002-LOWER,N-JUDGE-EVALUATION-0002-UPPER,N-JUDGE-EVALUATION-0002-PAIRS,N-JUDGE-EVALUATION-0002-SERVICE_CLUSTERS,N-JUDGE-EVALUATION-0002-THRESHOLD
reviewer_1,same_family_stated_in_frozen_plan,ppv,0.6788990825688074,0.5700934579439252,0.7870370370370371,120,24,0.5,service_cluster_percentile_bootstrap,observed_reviewer_specific,same_family_dependent_no_adjudicated_ground_truth,N-JUDGE-EVALUATION-0003-ESTIMATE,N-JUDGE-EVALUATION-0003-LOWER,N-JUDGE-EVALUATION-0003-UPPER,N-JUDGE-EVALUATION-0003-PAIRS,N-JUDGE-EVALUATION-0003-SERVICE_CLUSTERS,N-JUDGE-EVALUATION-0003-THRESHOLD
reviewer_1,same_family_stated_in_frozen_plan,npv,0.5454545454545454,0.3125,0.8333333333333335,120,24,0.5,service_cluster_percentile_bootstrap,observed_reviewer_specific,same_family_dependent_no_adjudicated_ground_truth,N-JUDGE-EVALUATION-0004-ESTIMATE,N-JUDGE-EVALUATION-0004-LOWER,N-JUDGE-EVALUATION-0004-UPPER,N-JUDGE-EVALUATION-0004-PAIRS,N-JUDGE-EVALUATION-0004-SERVICE_CLUSTERS,N-JUDGE-EVALUATION-0004-THRESHOLD
reviewer_1,same_family_stated_in_frozen_plan,balanced_accuracy,0.5415251620870639,0.49498327759197325,0.5954910002278424,120,24,0.5,service_cluster_percentile_bootstrap,observed_reviewer_specific,same_family_dependent_no_adjudicated_ground_truth,N-JUDGE-EVALUATION-0005-ESTIMATE,N-JUDGE-EVALUATION-0005-LOWER,N-JUDGE-EVALUATION-0005-UPPER,N-JUDGE-EVALUATION-0005-PAIRS,N-JUDGE-EVALUATION-0005-SERVICE_CLUSTERS,N-JUDGE-EVALUATION-0005-THRESHOLD
reviewer_1,same_family_stated_in_frozen_plan,auc,0.47653596789132446,0.37056972974510155,0.5888231951871656,120,24,0.5,service_cluster_percentile_bootstrap,assumed_probability_mapping,same_family_dependent_no_adjudicated_ground_truth,N-JUDGE-EVALUATION-0006-ESTIMATE,N-JUDGE-EVALUATION-0006-LOWER,N-JUDGE-EVALUATION-0006-UPPER,N-JUDGE-EVALUATION-0006-PAIRS,N-JUDGE-EVALUATION-0006-SERVICE_CLUSTERS,N-JUDGE-EVALUATION-0006-THRESHOLD
reviewer_1,same_family_stated_in_frozen_plan,brier,0.2697941416666667,0.19436202509768008,0.3424237073143512,120,24,0.5,service_cluster_percentile_bootstrap,assumed_probability_mapping,same_family_dependent_no_adjudicated_ground_truth,N-JUDGE-EVALUATION-0007-ESTIMATE,N-JUDGE-EVALUATION-0007-LOWER,N-JUDGE-EVALUATION-0007-UPPER,N-JUDGE-EVALUATION-0007-PAIRS,N-JUDGE-EVALUATION-0007-SERVICE_CLUSTERS,N-JUDGE-EVALUATION-0007-THRESHOLD
reviewer_1,same_family_stated_in_frozen_plan,log_loss,1.0361829510172504,0.6415249110738566,1.58590219339373,120,24,0.5,service_cluster_percentile_bootstrap,assumed_probability_mapping,same_family_dependent_no_adjudicated_ground_truth,N-JUDGE-EVALUATION-0008-ESTIMATE,N-JUDGE-EVALUATION-0008-LOWER,N-JUDGE-EVALUATION-0008-UPPER,N-JUDGE-EVALUATION-0008-PAIRS,N-JUDGE-EVALUATION-0008-SERVICE_CLUSTERS,N-JUDGE-EVALUATION-0008-THRESHOLD
reviewer_1,same_family_stated_in_frozen_plan,average_precision,0.6419480625369822,0.5338330545796577,0.7710589989491012,120,24,0.5,service_cluster_percentile_bootstrap,assumed_probability_mapping,same_family_dependent_no_adjudicated_ground_truth,N-JUDGE-EVALUATION-0009-ESTIMATE,N-JUDGE-EVALUATION-0009-LOWER,N-JUDGE-EVALUATION-0009-UPPER,N-JUDGE-EVALUATION-0009-PAIRS,N-JUDGE-EVALUATION-0009-SERVICE_CLUSTERS,N-JUDGE-EVALUATION-0009-THRESHOLD
reviewer_1,same_family_stated_in_frozen_plan,weighted_agreement_binary_kappa,0.10078681153990247,-0.010365936019277598,0.2283172303172511,120,24,0.5,service_cluster_percentile_bootstrap,observed_reviewer_specific,same_family_dependent_no_adjudicated_ground_truth,N-JUDGE-EVALUATION-0010-ESTIMATE,N-JUDGE-EVALUATION-0010-LOWER,N-JUDGE-EVALUATION-0010-UPPER,N-JUDGE-EVALUATION-0010-PAIRS,N-JUDGE-EVALUATION-0010-SERVICE_CLUSTERS,N-JUDGE-EVALUATION-0010-THRESHOLD
