monitor_id,domain,metric,grain,baseline,alert_rule,alert_class,small_segment_control,minimum_independent_components,data_maturation,regression_to_mean_control,seasonality_control,multiple_testing,alert_budget,incident_deduplication,escalation_sla,owner,stop_authority,restart_rule,required_versions,defects_caught,quantity_status,minimum_independent_components_number_id,alert_budget_number_id
DQ-01,data_contracts,schema_type_null_range_grain_RI,ingestion_run,hard_contract,immediate,hard_stop_budget_exempt,not_applicable_hard_stop,5,not_applicable_immediate_contract_check,not_applicable_hard_stop,not_applicable_hard_stop,not_applicable_hard_stop,,bundle_same_root_cause_across_segments_and_metrics,L1_next_business_day;L2_four_hours;L3_immediate_pause,data_steward,data_steward,clinical_safety_owner_approval;data_owner_approval;system_owner_approval;root_cause_and_corrective_action;version_increment;deterministic_replay_and_hash_verification;shadow_validation,data_version;pipeline_artifact_set;model_version;threshold_version;prompt_version;judge_family_version;policy_version;monitor_config_sha;code_commit,schema drift adds/removes/changes columns;nulls invalid ranges stale inputs undeclared grains;lookup duplication multiplies facts;identifiers malformed or fail to join,prospective_monitor_specification,N-MONITOR-CATALOG-0001-MINIMUM_INDEPENDENT_COMPONENTS,
DQ-02,data_contracts,semantic_duplicate_and_event_id_reuse_rate,ingestion_run,baseline_plus_zero_incompatible_reuse,immediate_on_reuse,hard_stop_budget_exempt,not_applicable_hard_stop,5,not_applicable_immediate_contract_check,not_applicable_hard_stop,not_applicable_hard_stop,not_applicable_hard_stop,,bundle_same_root_cause_across_segments_and_metrics,L1_next_business_day;L2_four_hours;L3_immediate_pause,data_engineer,data_steward,clinical_safety_owner_approval;data_owner_approval;system_owner_approval;root_cause_and_corrective_action;version_increment;deterministic_replay_and_hash_verification;shadow_validation,data_version;pipeline_artifact_set;model_version;threshold_version;prompt_version;judge_family_version;policy_version;monitor_config_sha;code_commit,retry duplicates change transport metadata;event_id malformed duplicated or reused;replay can duplicate or alter outputs,prospective_monitor_specification,N-MONITOR-CATALOG-0002-MINIMUM_INDEPENDENT_COMPONENTS,
DQ-03,data_contracts,late_revision_and_partition_freshness,partition_day,nine_day_revision_profile,two_breaches_or_missing_partition,hard_stop_budget_exempt,not_applicable_hard_stop,5,not_applicable_immediate_contract_check,not_applicable_hard_stop,not_applicable_hard_stop,not_applicable_hard_stop,,bundle_same_root_cause_across_segments_and_metrics,L1_next_business_day;L2_four_hours;L3_immediate_pause,data_engineer,data_steward,clinical_safety_owner_approval;data_owner_approval;system_owner_approval;root_cause_and_corrective_action;version_increment;deterministic_replay_and_hash_verification;shadow_validation,data_version;pipeline_artifact_set;model_version;threshold_version;prompt_version;judge_family_version;policy_version;monitor_config_sha;code_commit,events arrive beyond literal nine-day rewind;arbitrary historical backfills invalidate later outputs;ingestion partitions continue beyond study window;partition filename disagrees with ingestion timestamp,prospective_monitor_specification,N-MONITOR-CATALOG-0003-MINIMUM_INDEPENDENT_COMPONENTS,
DQ-04,data_contracts,quarantine_and_timezone_anomaly_rate,source_day,source_specific_baseline,hard_on_unknown_time_rule_else_two_breaches,hard_stop_budget_exempt,not_applicable_hard_stop,5,not_applicable_immediate_contract_check,not_applicable_hard_stop,not_applicable_hard_stop,not_applicable_hard_stop,,bundle_same_root_cause_across_segments_and_metrics,L1_next_business_day;L2_four_hours;L3_immediate_pause,data_engineer,clinical_safety_officer,clinical_safety_owner_approval;data_owner_approval;system_owner_approval;root_cause_and_corrective_action;version_increment;deterministic_replay_and_hash_verification;shadow_validation,data_version;pipeline_artifact_set;model_version;threshold_version;prompt_version;judge_family_version;policy_version;monitor_config_sha;code_commit,mixed time zones and daylight-saving boundaries;source text contains instructions or sensitive-looking content,prospective_monitor_specification,N-MONITOR-CATALOG-0004-MINIMUM_INDEPENDENT_COMPONENTS,
POP-01,population_shift,service_site_ward_mix,service_week,season_matched_26_week,BY_q_below_0.05_two_weeks,statistical_warning,suppress_below_20_and_shrink_toward_parent,5,wait_9_days_before_statistical_alerting,two_consecutive_breaches,compare_to_matching_calendar_period_or_period_fixed_effect,weekly_Benjamini_Yekutieli,3,bundle_same_root_cause_across_segments_and_metrics,L1_next_business_day;L2_four_hours;L3_immediate_pause,operations_analyst,clinical_operations_lead,clinical_safety_owner_approval;data_owner_approval;system_owner_approval;root_cause_and_corrective_action;version_increment;deterministic_replay_and_hash_verification;shadow_validation,data_version;pipeline_artifact_set;model_version;threshold_version;prompt_version;judge_family_version;policy_version;monitor_config_sha;code_commit,selected treated services unavailable;clinician-service attributes conflict with event facts;snapshot or dimension keys unmatched,prospective_monitor_specification,N-MONITOR-CATALOG-0005-MINIMUM_INDEPENDENT_COMPONENTS,N-MONITOR-CATALOG-0005-ALERT_BUDGET
POP-02,population_shift,age_sex_case_mix_PSI,site_week,season_matched_26_week,PSI_above_0.20_two_weeks,statistical_warning,suppress_below_20_and_shrink_toward_parent,5,wait_9_days_before_statistical_alerting,two_consecutive_breaches,compare_to_matching_calendar_period_or_period_fixed_effect,weekly_Benjamini_Yekutieli,3,bundle_same_root_cause_across_segments_and_metrics,L1_next_business_day;L2_four_hours;L3_immediate_pause,clinical_analyst,clinical_operations_lead,clinical_safety_owner_approval;data_owner_approval;system_owner_approval;root_cause_and_corrective_action;version_increment;deterministic_replay_and_hash_verification;shadow_validation,data_version;pipeline_artifact_set;model_version;threshold_version;prompt_version;judge_family_version;policy_version;monitor_config_sha;code_commit,Simpson's paradox and case-mix shift;local workload smaller than evaluation workload,prospective_monitor_specification,N-MONITOR-CATALOG-0006-MINIMUM_INDEPENDENT_COMPONENTS,N-MONITOR-CATALOG-0006-ALERT_BUDGET
MOD-01,model_behavior,score_live_PSI_and_threshold_version,model_site_week,last_approved_model_season,PSI_above_0.20_two_weeks_or_threshold_unregistered,statistical_warning,suppress_below_20_and_shrink_toward_parent,5,wait_9_days_before_statistical_alerting,two_consecutive_breaches,compare_to_matching_calendar_period_or_period_fixed_effect,weekly_Benjamini_Yekutieli,3,bundle_same_root_cause_across_segments_and_metrics,L1_next_business_day;L2_four_hours;L3_immediate_pause,ML_owner,clinical_safety_officer,clinical_safety_owner_approval;data_owner_approval;system_owner_approval;root_cause_and_corrective_action;version_increment;deterministic_replay_and_hash_verification;shadow_validation,data_version;pipeline_artifact_set;model_version;threshold_version;prompt_version;judge_family_version;policy_version;monitor_config_sha;code_commit,model score drift;threshold selection period unavailable;hidden sealed mutation behavior underspecified,prospective_monitor_specification,N-MONITOR-CATALOG-0007-MINIMUM_INDEPENDENT_COMPONENTS,N-MONITOR-CATALOG-0007-ALERT_BUDGET
MOD-02,model_behavior,batch_live_delta_by_null_pattern,model_service_week,approved_shadow_baseline,BY_q_below_0.05_two_weeks,statistical_warning,suppress_below_20_and_shrink_toward_parent,5,wait_9_days_before_statistical_alerting,two_consecutive_breaches,compare_to_matching_calendar_period_or_period_fixed_effect,weekly_Benjamini_Yekutieli,3,bundle_same_root_cause_across_segments_and_metrics,L1_next_business_day;L2_four_hours;L3_immediate_pause,ML_owner,clinical_safety_officer,clinical_safety_owner_approval;data_owner_approval;system_owner_approval;root_cause_and_corrective_action;version_increment;deterministic_replay_and_hash_verification;shadow_validation,data_version;pipeline_artifact_set;model_version;threshold_version;prompt_version;judge_family_version;policy_version;monitor_config_sha;code_commit,batch/live null handling differs;feature lineage missing;temporal leakage,prospective_monitor_specification,N-MONITOR-CATALOG-0008-MINIMUM_INDEPENDENT_COMPONENTS,N-MONITOR-CATALOG-0008-ALERT_BUDGET
CAL-01,calibration,Brier_log_loss_ECE_calibration_slope,model_component_month,locked_external_validation,minimum_200_cases_and_two_breaches,statistical_warning,suppress_below_20_and_shrink_toward_parent,5,wait_90_days_before_statistical_alerting,two_consecutive_breaches,compare_to_matching_calendar_period_or_period_fixed_effect,weekly_Benjamini_Yekutieli,3,bundle_same_root_cause_across_segments_and_metrics,L1_next_business_day;L2_four_hours;L3_immediate_pause,ML_owner,clinical_safety_officer,clinical_safety_owner_approval;data_owner_approval;system_owner_approval;root_cause_and_corrective_action;version_increment;deterministic_replay_and_hash_verification;shadow_validation,data_version;pipeline_artifact_set;model_version;threshold_version;prompt_version;judge_family_version;policy_version;monitor_config_sha;code_commit,recommendation model miscalibration;post-outcome leakage invalidates performance,prospective_monitor_specification,N-MONITOR-CATALOG-0009-MINIMUM_INDEPENDENT_COMPONENTS,N-MONITOR-CATALOG-0009-ALERT_BUDGET
ACT-01,clinician_action,recommendation_display_accept_override_abstain,component_week,season_matched_26_week,BY_q_below_0.05_two_weeks,statistical_warning,suppress_below_20_and_shrink_toward_parent,5,wait_9_days_before_statistical_alerting,two_consecutive_breaches,compare_to_matching_calendar_period_or_period_fixed_effect,weekly_Benjamini_Yekutieli,3,bundle_same_root_cause_across_segments_and_metrics,L1_next_business_day;L2_four_hours;L3_immediate_pause,clinical_operations,clinical_safety_officer,clinical_safety_owner_approval;data_owner_approval;system_owner_approval;root_cause_and_corrective_action;version_increment;deterministic_replay_and_hash_verification;shadow_validation,data_version;pipeline_artifact_set;model_version;threshold_version;prompt_version;judge_family_version;policy_version;monitor_config_sha;code_commit,interference and clinician behavior;survival-to-assessment selection,prospective_monitor_specification,N-MONITOR-CATALOG-0010-MINIMUM_INDEPENDENT_COMPONENTS,N-MONITOR-CATALOG-0010-ALERT_BUDGET
