table,declared_grain,rows,duplicate_grains,null_grain_keys,passed,quantity_status,rows_number_id,duplicate_grains_number_id,null_grain_keys_number_id
adjudication_protocol,step,5,0,0,True,recomputed_contract,N-TABLE-CONTRACTS-0001-ROWS,N-TABLE-CONTRACTS-0001-DUPLICATE_GRAINS,N-TABLE-CONTRACTS-0001-NULL_GRAIN_KEYS
decision_curve,context;strategy;threshold,114,0,0,True,recomputed_contract,N-TABLE-CONTRACTS-0002-ROWS,N-TABLE-CONTRACTS-0002-DUPLICATE_GRAINS,N-TABLE-CONTRACTS-0002-NULL_GRAIN_KEYS
design_parameters,parameter,8,0,0,True,recomputed_contract,N-TABLE-CONTRACTS-0003-ROWS,N-TABLE-CONTRACTS-0003-DUPLICATE_GRAINS,N-TABLE-CONTRACTS-0003-NULL_GRAIN_KEYS
ethics_governance,domain,4,0,0,True,recomputed_contract,N-TABLE-CONTRACTS-0004-ROWS,N-TABLE-CONTRACTS-0004-DUPLICATE_GRAINS,N-TABLE-CONTRACTS-0004-NULL_GRAIN_KEYS
evaluation_comparison_ledger,comparison_id,316,0,0,True,recomputed_contract,N-TABLE-CONTRACTS-0005-ROWS,N-TABLE-CONTRACTS-0005-DUPLICATE_GRAINS,N-TABLE-CONTRACTS-0005-NULL_GRAIN_KEYS
gaps,gap_id,10,0,0,True,recomputed_contract,N-TABLE-CONTRACTS-0006-ROWS,N-TABLE-CONTRACTS-0006-DUPLICATE_GRAINS,N-TABLE-CONTRACTS-0006-NULL_GRAIN_KEYS
interference_components,component_id,8,0,0,True,recomputed_contract,N-TABLE-CONTRACTS-0007-ROWS,N-TABLE-CONTRACTS-0007-DUPLICATE_GRAINS,N-TABLE-CONTRACTS-0007-NULL_GRAIN_KEYS
judge_evaluation,label_source;family_relation;metric,36,0,0,True,recomputed_contract,N-TABLE-CONTRACTS-0008-ROWS,N-TABLE-CONTRACTS-0008-DUPLICATE_GRAINS,N-TABLE-CONTRACTS-0008-NULL_GRAIN_KEYS
judge_family_dependence,family_relation,2,0,0,True,recomputed_contract,N-TABLE-CONTRACTS-0009-ROWS,N-TABLE-CONTRACTS-0009-DUPLICATE_GRAINS,N-TABLE-CONTRACTS-0009-NULL_GRAIN_KEYS
judge_use_decision,use_case,3,0,0,True,recomputed_contract,N-TABLE-CONTRACTS-0010-ROWS,N-TABLE-CONTRACTS-0010-DUPLICATE_GRAINS,N-TABLE-CONTRACTS-0010-NULL_GRAIN_KEYS
judge_use_gates,gate,6,0,0,True,recomputed_contract,N-TABLE-CONTRACTS-0011-ROWS,N-TABLE-CONTRACTS-0011-DUPLICATE_GRAINS,N-TABLE-CONTRACTS-0011-NULL_GRAIN_KEYS
label_flow,flow,5,0,0,True,recomputed_contract,N-TABLE-CONTRACTS-0012-ROWS,N-TABLE-CONTRACTS-0012-DUPLICATE_GRAINS,N-TABLE-CONTRACTS-0012-NULL_GRAIN_KEYS
label_provenance,field_or_classification,6,0,0,True,recomputed_contract,N-TABLE-CONTRACTS-0013-ROWS,N-TABLE-CONTRACTS-0013-DUPLICATE_GRAINS,N-TABLE-CONTRACTS-0013-NULL_GRAIN_KEYS
leakage_audit,check,8,0,0,True,recomputed_contract,N-TABLE-CONTRACTS-0014-ROWS,N-TABLE-CONTRACTS-0014-DUPLICATE_GRAINS,N-TABLE-CONTRACTS-0014-NULL_GRAIN_KEYS
minimum_detectable_effect,icc,3,0,0,True,recomputed_contract,N-TABLE-CONTRACTS-0015-ROWS,N-TABLE-CONTRACTS-0015-DUPLICATE_GRAINS,N-TABLE-CONTRACTS-0015-NULL_GRAIN_KEYS
model_calibration,context;bin,20,0,0,True,recomputed_contract,N-TABLE-CONTRACTS-0016-ROWS,N-TABLE-CONTRACTS-0016-DUPLICATE_GRAINS,N-TABLE-CONTRACTS-0016-NULL_GRAIN_KEYS
model_flow,flow,5,0,0,True,recomputed_contract,N-TABLE-CONTRACTS-0017-ROWS,N-TABLE-CONTRACTS-0017-DUPLICATE_GRAINS,N-TABLE-CONTRACTS-0017-NULL_GRAIN_KEYS
model_operating_point,context;metric,26,0,0,True,recomputed_contract,N-TABLE-CONTRACTS-0018-ROWS,N-TABLE-CONTRACTS-0018-DUPLICATE_GRAINS,N-TABLE-CONTRACTS-0018-NULL_GRAIN_KEYS
model_subgroups,dimension;group;metric,124,0,0,True,recomputed_contract,N-TABLE-CONTRACTS-0019-ROWS,N-TABLE-CONTRACTS-0019-DUPLICATE_GRAINS,N-TABLE-CONTRACTS-0019-NULL_GRAIN_KEYS
monitor_catalog,monitor_id,18,0,0,True,recomputed_contract,N-TABLE-CONTRACTS-0020-ROWS,N-TABLE-CONTRACTS-0020-DUPLICATE_GRAINS,N-TABLE-CONTRACTS-0020-NULL_GRAIN_KEYS
monitor_defect_map,monitor_id;defect,50,0,0,True,recomputed_contract,N-TABLE-CONTRACTS-0021-ROWS,N-TABLE-CONTRACTS-0021-DUPLICATE_GRAINS,N-TABLE-CONTRACTS-0021-NULL_GRAIN_KEYS
monitor_replay,service_code;week,1272,0,0,True,recomputed_contract,N-TABLE-CONTRACTS-0022-ROWS,N-TABLE-CONTRACTS-0022-DUPLICATE_GRAINS,N-TABLE-CONTRACTS-0022-NULL_GRAIN_KEYS
monitor_snapshot,monitor_id;metric,10,0,0,True,recomputed_contract,N-TABLE-CONTRACTS-0023-ROWS,N-TABLE-CONTRACTS-0023-DUPLICATE_GRAINS,N-TABLE-CONTRACTS-0023-NULL_GRAIN_KEYS
monitor_summary,metric,8,0,0,True,recomputed_contract,N-TABLE-CONTRACTS-0024-ROWS,N-TABLE-CONTRACTS-0024-DUPLICATE_GRAINS,N-TABLE-CONTRACTS-0024-NULL_GRAIN_KEYS
power_scenarios,icc;risk_difference,27,0,0,True,recomputed_contract,N-TABLE-CONTRACTS-0025-ROWS,N-TABLE-CONTRACTS-0025-DUPLICATE_GRAINS,N-TABLE-CONTRACTS-0025-NULL_GRAIN_KEYS
