pair_id,llm_judge_verdict,llm_judge_score
P0000,PROCEED,0.861
P0001,PROCEED,0.963
P0002,PROCEED,0.799
P0003,PROCEED,0.791
P0004,PROCEED,0.931
P0005,PROCEED,0.824
P0006,PROCEED,0.924
P0007,PROCEED,1.0
P0008,PROCEED,0.869
P0009,PROCEED,0.898
P0010,PROCEED,0.913
P0011,PROCEED,0.943
P0012,PROCEED,0.798
P0013,PROCEED,0.824
P0014,PROCEED,0.824
P0015,PROCEED,0.896
P0016,PROCEED,0.727
P0017,PROCEED,0.912
P0018,PROCEED,0.983
P0019,HOLD,0.804
P0020,PROCEED,0.953
P0021,PROCEED,0.904
P0022,PROCEED,0.827
P0023,PROCEED,0.843
P0024,PROCEED,0.888
P0025,PROCEED,0.871
P0026,HOLD,1.0
P0027,PROCEED,0.825
P0028,PROCEED,0.928
P0029,PROCEED,0.891
P0030,PROCEED,0.883
P0031,PROCEED,0.75
P0032,PROCEED,0.817
P0033,PROCEED,0.865
P0034,PROCEED,0.834
P0035,HOLD,0.846
P0036,PROCEED,0.954
P0037,PROCEED,0.818
P0038,PROCEED,0.773
P0039,PROCEED,0.923
P0040,PROCEED,0.718
P0041,PROCEED,0.792
P0042,PROCEED,0.761
P0043,PROCEED,0.841
P0044,PROCEED,1.0
P0045,PROCEED,0.851
P0046,PROCEED,0.886
P0047,PROCEED,1.0
P0048,PROCEED,0.895
P0049,PROCEED,0.872
P0050,PROCEED,0.886
P0051,PROCEED,0.876
P0052,PROCEED,0.823
P0053,PROCEED,0.845
P0054,PROCEED,0.825
P0055,PROCEED,0.91
P0056,HOLD,0.862
P0057,PROCEED,0.868
P0058,PROCEED,0.794
P0059,HOLD,0.947
P0060,HOLD,0.796
P0061,PROCEED,0.777
P0062,PROCEED,0.914
P0063,PROCEED,0.767
P0064,PROCEED,0.743
P0065,PROCEED,0.897
P0066,PROCEED,0.808
P0067,PROCEED,0.82
P0068,PROCEED,0.796
P0069,PROCEED,0.998
P0070,PROCEED,0.816
P0071,PROCEED,0.909
P0072,PROCEED,0.907
P0073,PROCEED,1.0
P0074,PROCEED,0.93
P0075,PROCEED,0.909
P0076,PROCEED,0.818
P0077,PROCEED,0.892
P0078,HOLD,0.817
P0079,HOLD,0.801
P0080,PROCEED,0.892
P0081,PROCEED,0.786
P0082,PROCEED,0.793
P0083,PROCEED,0.831
P0084,PROCEED,0.854
P0085,PROCEED,0.95
P0086,PROCEED,0.862
P0087,PROCEED,0.943
P0088,PROCEED,0.804
P0089,PROCEED,0.862
P0090,PROCEED,0.884
P0091,PROCEED,0.95
P0092,PROCEED,0.861
P0093,PROCEED,0.82
P0094,PROCEED,1.0
P0095,PROCEED,0.836
P0096,HOLD,0.705
P0097,PROCEED,0.939
P0098,PROCEED,0.946
P0099,PROCEED,0.842
P0100,PROCEED,0.738
P0101,PROCEED,0.868
P0102,PROCEED,0.948
P0103,PROCEED,0.814
P0104,PROCEED,0.853
P0105,PROCEED,0.945
P0106,PROCEED,0.868
P0107,PROCEED,0.863
P0108,HOLD,0.935
P0109,PROCEED,0.95
P0110,PROCEED,0.91
P0111,PROCEED,0.905
P0112,PROCEED,0.788
P0113,PROCEED,0.799
P0114,PROCEED,0.891
P0115,PROCEED,0.867
P0116,PROCEED,0.835
P0117,PROCEED,0.814
P0118,PROCEED,0.824
P0119,HOLD,0.834
P0120,PROCEED,0.925
P0121,PROCEED,0.865
P0122,PROCEED,0.868
P0123,PROCEED,0.672
P0124,PROCEED,0.879
P0125,PROCEED,0.782
P0126,PROCEED,0.941
P0127,PROCEED,0.908
P0128,PROCEED,0.838
P0129,PROCEED,0.829
P0130,PROCEED,0.928
P0131,PROCEED,0.825
P0132,PROCEED,0.83
P0133,PROCEED,0.924
P0134,PROCEED,0.915
P0135,PROCEED,0.994
P0136,PROCEED,0.924
P0137,PROCEED,0.83
P0138,HOLD,0.803
P0139,HOLD,0.834
P0140,HOLD,0.918
P0141,PROCEED,0.792
P0142,PROCEED,0.901
P0143,PROCEED,1.0
P0144,PROCEED,0.794
P0145,PROCEED,0.898
P0146,PROCEED,0.881
P0147,PROCEED,0.806
P0148,PROCEED,0.96
P0149,PROCEED,0.852
P0150,PROCEED,0.859
P0151,PROCEED,0.925
P0152,PROCEED,0.868
P0153,PROCEED,0.882
P0154,PROCEED,0.928
P0155,PROCEED,0.815
P0156,PROCEED,0.89
P0157,HOLD,0.896
P0158,PROCEED,0.746
P0159,PROCEED,0.786
P0160,PROCEED,0.972
P0161,PROCEED,0.917
P0162,HOLD,0.79
P0163,PROCEED,0.818
P0164,PROCEED,0.861
P0165,PROCEED,0.876
P0166,PROCEED,0.849
P0167,PROCEED,1.0
P0168,PROCEED,0.978
P0169,PROCEED,0.882
P0170,PROCEED,0.787
P0171,PROCEED,0.797
P0172,PROCEED,0.961
P0173,PROCEED,0.856
P0174,HOLD,0.876
P0175,PROCEED,0.991
P0176,PROCEED,0.838
P0177,PROCEED,0.801
P0178,PROCEED,0.82
P0179,PROCEED,0.82
P0180,PROCEED,0.736
P0181,PROCEED,0.831
P0182,PROCEED,0.651
P0183,PROCEED,0.768
P0184,PROCEED,0.898
P0185,PROCEED,0.771
P0186,PROCEED,0.882
P0187,PROCEED,0.799
P0188,PROCEED,0.956
P0189,PROCEED,0.749
P0190,PROCEED,0.819
P0191,PROCEED,0.949
P0192,PROCEED,0.746
P0193,PROCEED,0.931
P0194,PROCEED,0.77
P0195,PROCEED,0.829
P0196,PROCEED,0.869
P0197,PROCEED,0.784
P0198,PROCEED,0.878
P0199,PROCEED,0.926
P0200,HOLD,0.841
P0201,PROCEED,0.919
P0202,HOLD,0.958
P0203,PROCEED,0.911
P0204,PROCEED,0.924
P0205,PROCEED,0.847
P0206,HOLD,0.915
P0207,PROCEED,0.932
P0208,PROCEED,0.974
P0209,PROCEED,0.754
P0210,HOLD,0.83
P0211,PROCEED,0.881
P0212,PROCEED,0.929
P0213,PROCEED,0.821
P0214,PROCEED,0.875
P0215,PROCEED,0.842
P0216,PROCEED,0.935
P0217,PROCEED,0.819
P0218,PROCEED,0.856
P0219,PROCEED,0.856
P0220,PROCEED,0.941
P0221,PROCEED,0.84
P0222,PROCEED,0.769
P0223,PROCEED,0.841
P0224,PROCEED,0.899
P0225,PROCEED,0.853
P0226,PROCEED,0.887
P0227,PROCEED,0.945
P0228,PROCEED,0.953
P0229,PROCEED,0.792
P0230,PROCEED,0.886
P0231,PROCEED,0.916
P0232,PROCEED,0.756
P0233,PROCEED,0.886
P0234,PROCEED,0.998
P0235,HOLD,1.0
P0236,PROCEED,0.89
P0237,PROCEED,0.792
P0238,PROCEED,0.828
P0239,PROCEED,0.905
P0240,PROCEED,0.899
P0241,HOLD,0.867
P0242,PROCEED,0.94
P0243,PROCEED,0.749
P0244,PROCEED,0.938
P0245,PROCEED,0.901
P0246,PROCEED,0.803
P0247,PROCEED,1.0
P0248,PROCEED,0.733
P0249,PROCEED,0.852
P0250,PROCEED,0.895
P0251,PROCEED,0.957
P0252,PROCEED,0.879
P0253,PROCEED,0.763
P0254,PROCEED,0.96
P0255,PROCEED,0.827
P0256,HOLD,0.811
P0257,PROCEED,0.881
P0258,PROCEED,0.878
P0259,PROCEED,0.875
P0260,PROCEED,0.823
P0261,PROCEED,0.988
P0262,PROCEED,0.765
P0263,HOLD,0.883
P0264,PROCEED,0.817
P0265,PROCEED,0.902
P0266,PROCEED,0.878
P0267,PROCEED,0.85
P0268,PROCEED,0.903
P0269,PROCEED,0.826
P0270,PROCEED,1.0
P0271,PROCEED,0.835
P0272,PROCEED,0.83
P0273,PROCEED,0.803
P0274,HOLD,0.879
P0275,HOLD,0.905
P0276,PROCEED,0.792
P0277,PROCEED,0.908
