monitor_id,defect,detection_mechanism,escalation,stop_authority,coverage_status
DQ-01,schema drift adds/removes/changes columns,schema_type_null_range_grain_RI,immediate,data_steward,would_detect_or_contain_if_deployed
DQ-01,nulls invalid ranges stale inputs undeclared grains,schema_type_null_range_grain_RI,immediate,data_steward,would_detect_or_contain_if_deployed
DQ-01,lookup duplication multiplies facts,schema_type_null_range_grain_RI,immediate,data_steward,would_detect_or_contain_if_deployed
DQ-01,identifiers malformed or fail to join,schema_type_null_range_grain_RI,immediate,data_steward,would_detect_or_contain_if_deployed
DQ-02,retry duplicates change transport metadata,semantic_duplicate_and_event_id_reuse_rate,immediate_on_reuse,data_steward,would_detect_or_contain_if_deployed
DQ-02,event_id malformed duplicated or reused,semantic_duplicate_and_event_id_reuse_rate,immediate_on_reuse,data_steward,would_detect_or_contain_if_deployed
DQ-02,replay can duplicate or alter outputs,semantic_duplicate_and_event_id_reuse_rate,immediate_on_reuse,data_steward,would_detect_or_contain_if_deployed
DQ-03,events arrive beyond literal nine-day rewind,late_revision_and_partition_freshness,two_breaches_or_missing_partition,data_steward,would_detect_or_contain_if_deployed
DQ-03,arbitrary historical backfills invalidate later outputs,late_revision_and_partition_freshness,two_breaches_or_missing_partition,data_steward,would_detect_or_contain_if_deployed
DQ-03,ingestion partitions continue beyond study window,late_revision_and_partition_freshness,two_breaches_or_missing_partition,data_steward,would_detect_or_contain_if_deployed
DQ-03,partition filename disagrees with ingestion timestamp,late_revision_and_partition_freshness,two_breaches_or_missing_partition,data_steward,would_detect_or_contain_if_deployed
DQ-04,mixed time zones and daylight-saving boundaries,quarantine_and_timezone_anomaly_rate,hard_on_unknown_time_rule_else_two_breaches,clinical_safety_officer,would_detect_or_contain_if_deployed
DQ-04,source text contains instructions or sensitive-looking content,quarantine_and_timezone_anomaly_rate,hard_on_unknown_time_rule_else_two_breaches,clinical_safety_officer,would_detect_or_contain_if_deployed
POP-01,selected treated services unavailable,service_site_ward_mix,BY_q_below_0.05_two_weeks,clinical_operations_lead,would_detect_or_contain_if_deployed
